기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
케이씨에이,중소기업,서울 서초구,IT컨설팅,,,,
케이씨에이,중견기업,서울 강남구,금속광물 도매업,,,,
케이씨에이,중견기업,서울 영등포구,콜센터 및 텔레마케팅 서비스업,,,,
케이씨에이,중소기업,인천 서구,물류·운송·배송,,,,
케이씨에이,중소기업,서울 마포구,캐피탈·대출,,,,
케이씨에이,중소기업,서울 강서구,응용 소프트웨어 개발 및 공급업,,,,
케이씨에이,중소기업,경기 안양시,"컴퓨터 및 주변장치, 소프트웨어 도매업",,,,
케이씨에이,중소기업,서울 강동구,"체조, 육상 및 체력단련용 장비 제조업",,,,
케이씨에이,중소기업,부산 동구,산업 단체,,,,
하나레미콘,중소기업,충북 충주시,레미콘 제조업,,,,
태조상사,중소기업,경기 광주시,생활용 유리ㆍ요업ㆍ목재ㆍ금속 제품 및 날붙이 도매업,,,,
송파문화원,중소기업,서울 송파구,그 외 기타 협회 및 단체,-,-,김현신,1994.10.18(32년차)
콘텐츠쿡,중소기업,경기 구리시,포털·컨텐츠·커뮤니티,-,-,김국현,2020.04.01(6년차)
코드원,중소기업,경남 창원시,콜센터·아웃소싱·기타,-,100억,서보경,2001.01.01(25년차)
코드원,중소기업,충북 청주시,내부 통신배선 공사업,"6억 6,500만원(2024.12.31)",30억 4천만원(2024.12.31),김정순/동중영,2004.04.21(22년차)
코드원,중소기업,경기 고양시,정보보안,"2억 3,200만원",39억6백만,이관목,2006.08.02(20년차)
코드원,벤처기업,서울 송파구,솔루션·SI·CRM·ERP,"1억 8,000만원",5억,조석홍,2013.08.29(13년차)
코드원,중소기업,충북 청주시,경비 및 경호 서비스업,3억원(2024.12.31),42억 1천만원(2024.12.31),이윤희,2012.04.01(14년차)
코드원,중소기업,서울 금천구,안경 및 렌즈 소매업,-,15억,주혜진,2011.05.02(15년차)
코드원,중소기업,서울 용산구,부동산·중개·임대,-,-,서다애,2014.05.16(12년차)
서진,중견기업,경기 군포시,자동차 차체용 신품 부품 제조업,,,,
서진,중견기업,경기 평택시,자동차 엔진용 신품 부품 제조업,85억 3천만원(2024.12.31),"4,235억 2천만원(2024.12.31)",이문석,1999.10.01(27년차)
서진,벤처기업,충북 청주시,솔루션·SI·CRM·ERP,-,-,김재영,2000(26년차)
서진,중소기업,인천 서구,기체 여과기 제조업,,,,
서진,중견기업,경기 부천시,전기·전자·제어,93억 9천만원,7875억원,전동규,1996.07.15(30년차)
서진,중소기업,경기 김포시,기계·기계설비,,,김혜인,1993.03.11(33년차)
서진,중소기업,인천 연수구,그 외 기타 분류 안된 사업지원 서비스업,"1,000만원(2024.12.31)",47억 8백만원(2024.12.31),박미애,2019.12.10(7년차)
서진,중소기업,경기 안양시,그 외 기타 분류 안된 사업지원 서비스업,"5,000만원(2023.12.31)",89억 6천만원(2023.12.31),김용환,2009.01.10(17년차)
서진,중소기업,서울 관악구,건축물 일반 청소업,5억원(2016.12.31),62억 1천만원(2016.12.31),박해종,1992.01.01(34년차)
한국앱티브,외국계(외국 법인기타),경기 용인시,자동차·조선·철강·항공,,,유재식,1989.02.22(37년차)
씨엔에이치엔지니어링,중소기업,서울 강서구,반도체·디스플레이·광학,-,-,하중조,1999(27년차)
씨엔에이치엔지니어링,중소기업,경기 평택시,그 외 기타 분류 안된 화학제품 제조업,5억원(2024.12.31),288억 2천만원(2024.12.31),김종혁,1984.07.01(42년차)
씨엔에이치엔지니어링,중소기업,경기 수원시,반도체·디스플레이·광학,2억원,50억,이창경,2005.07.15(21년차)
씨엔에이치엔지니어링,중소기업,서울 구로구,쇼핑몰·오픈마켓·소셜커머스,,,이근석,2012.06.25(14년차)
씨엔에이치엔지니어링,중소기업,서울 금천구,배관 및 냉ㆍ난방장치 도매업,2억원(2024.12.31),28억 9천만원(2024.12.31),유경찬,2012.06.21(14년차)
씨엔에이치엔지니어링,중소기업,서울 광진구,면직물 직조업,"1억 1,000만원(2022.12.31)",291억 6백만원(2022.12.31),최윤재,2015.10.06(11년차)
씨엔에이치엔지니어링,중소기업,충북 음성군,화학·에너지·환경,,,김상주,2001.11.04(25년차)
씨엔에이치엔지니어링,중소기업,서울시 영등포구,건축설계 및 관련 서비스업,-,-,최순봉,2000.12.14(26년차)
씨엔에이치엔지니어링,중소기업,경기 성남시,학원·어학원·교육원,-,-,편상범,1998(28년차)
씨엔에이치엔지니어링,중소기업,인천 동구,포장 및 충전업,2억원(2024.12.31),"7억 9,637만원(2024.12.31)",양윤식,2006.04.01(20년차)
백일,중소기업,대구 달성군,섬유·의류·패션,-,-,나용원,2000.08.14(26년차)
백일,중소기업,서울 종로구,백화점·유통·도소매,-,-,백훈,2001.07.10(25년차)
백일,중소기업,서울 서초구,비주거용 건물 개발 및 공급업,"5억 3,000만원(2024.12.31)",111억 9천만원(2024.12.31),김응부,2018.09.19(8년차)
백일,중소기업,서울 강남구,부동산 중개 및 대리업,3억원(2017.12.31),"4억 6,815만원(2017.12.31)",김응부,1999.01.21(27년차)
백일,중소기업,서울 금천구,"철물, 금속 파스너 및 수공구 도매업","5,000만원(2019.12.31)",21억 8천만원(2019.12.31),노수익,1997.08.19(29년차)
백일,중소기업,경기 남양주시,인테리어·자재,500만원,4억,이정욱,2021.08.02(5년차)
백일,중소기업,서울 관악구,부동산·중개·임대,"1억 5,000만원",-,김완수,2023.03.21(3년차)
백일,중소기업,서울 구로구,"컴퓨터 및 주변장치, 소프트웨어 도매업",-,-,여덕산,2022.09.21(4년차)
광일종합건설,중소기업,대전 대덕구,기타 토목시설물 건설업,26억 1천만원(2019.12.31),11억 5천만원(2019.12.31),박재원,1989.11.20(37년차)
광일종합건설,중소기업,경기 용인시,사무.상업용 및 공공기관용 건물 건설업,20억원(2020.12.31),115억 8천만원(2020.12.31),김명환,2002.12.10(24년차)
주원푸드,중소기업,제주 제주시,기타 과실ㆍ채소 가공 및 저장 처리업,3억원(2018.12.31),"4억 6,814만원(2018.12.31)",고경진,2015.10.14(11년차)
주원푸드,중소기업,광주 북구,가금류 가공 및 저장 처리업,1억원(2024.12.31),34억 9천만원(2024.12.31),김종현,2015.03.03(11년차)
주원푸드,중소기업,부산 해운대구,"신선, 냉동 및 기타 수산물 소매업","9,037만원(2021.12.31)",18억 4천만원(2021.12.31),김성규,2002.03.01(24년차)
오제이팜스,중소기업,서울 성동구,기타 산업용 농산물 도매업,"5,000만원(2023.12.31)",49억 9천만원(2023.12.31),오정우,2014.07.01(12년차)
대림,중견기업,서울 영등포구,생활용품·소비재·기타,-,-,강태식,1968.09.20(58년차)
대림,대기업,서울 종로구,무역·상사,526억 3천만원(2024.12.31),2조6천억원,배원복,1994.10.01(32년차)
대림,중견기업,서울 서초구,"수산동물 훈제, 조리 및 유사 조제식품 제조업",458억 4천만원(2024.12.31),"1조 4,066억원(2024.12.31)",김상훈,1964.05.01(62년차)
